kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
glyph16_U005E,glyph16,5000,125,3207,120,8188,ClassCap,34076,446,38540,TreeCheaper,33996,441,36,0.044
glyph16_U005F,glyph16,10000,72,5177,45,33484,ClassCap,17290,115,20799,TreeCheaper,17290,115,16,0.852
glyph16_U005F,glyph16,20000,72,10054,45,86033,ClassCap,17290,115,20799,TreeCheaper,17290,115,16,5.292
glyph16_U005F,glyph16,5000,72,3086,45,17275,ClassCap,17290,115,20799,TreeCheaper,17290,115,16,0.224
glyph16_U0060,glyph16,10000,85,7890,68,29135,ClassCap,20236,196,23596,TreeCheaper,20300,200,27,0.393
glyph16_U0060,glyph16,20000,85,12205,68,38445,ClassCap,20236,196,23596,TreeCheaper,20300,200,27,0.960
glyph16_U0060,glyph16,5000,85,3671,73,12657,ClassCap,20276,236,23696,TreeCheaper,20340,240,29,0.067
glyph16_U0061,glyph16,10000,2500,9912,2415,6862,ClassCap,523221,10806,2445075,Shared,528960,11160,683,0.032
glyph16_U0061,glyph16,20000,2500,19635,2056,23144,ClassCap,504892,8977,1232206,Shared,502892,8927,643,0.730
glyph16_U0061,glyph16,5000,2500,5000,2389,2274,ClassCap,571227,10677,2140425,Shared,571291,10681,1369,0.019
glyph16_U0062,glyph16,10000,1822,9753,1557,7796,ClassCap,368548,7078,960897,Shared,371835,7260,400,0.028
glyph16_U0062,glyph16,20000,1822,18892,1502,26145,ClassCap,365159,6584,870176,Shared,362695,6505,586,0.505
glyph16_U0062,glyph16,5000,1822,4992,1754,3026,ClassCap,394528,7858,1499277,Shared,396560,7985,811,0.017
glyph16_U0063,glyph16,10000,1817,9762,1553,7772,ClassCap,361774,7084,968652,Shared,365140,7285,397,0.027
glyph16_U0063,glyph16,20000,1817,18864,1507,26104,ClassCap,358388,6593,870842,Shared,355428,6483,584,0.403
glyph16_U0063,glyph16,5000,1817,4994,1753,3016,ClassCap,389009,7874,1497581,Shared,391137,8007,813,0.017
glyph16_U0064,glyph16,10000,1819,9753,1554,7807,ClassCap,370980,7080,962049,Shared,374282,7277,398,0.027
glyph16_U0064,glyph16,20000,1819,18874,1498,26223,ClassCap,366557,6587,870806,Shared,363709,6484,592,0.487
glyph16_U0064,glyph16,5000,1819,4989,1747,3029,ClassCap,392573,7838,1490381,Shared,394765,7975,815,0.017
glyph16_U0065,glyph16,10000,1865,9757,1615,7714,ClassCap,379643,7283,996622,Shared,383003,7493,420,0.028
glyph16_U0065,glyph16,20000,1865,18830,1553,26118,ClassCap,375701,6731,888222,Shared,373157,6647,594,0.434
glyph16_U0065,glyph16,5000,1865,4993,1801,2965,ClassCap,403074,8019,1489524,Shared,404802,8127,857,0.018
glyph16_U0066,glyph16,10000,576,8800,455,14204,ClassCap,123114,1884,309245,Shared,122346,1911,148,0.118
glyph16_U0066,glyph16,20000,576,17965,432,40334,ClassCap,109377,1767,361792,Shared,109313,1763,162,0.718
glyph16_U0066,glyph16,5000,576,4781,452,6766,ClassCap,130223,1853,275882,Shared,128783,1838,162,0.084
glyph16_U0067,glyph16,10000,2694,9935,2629,6733,ClassCap,561980,11810,2716405,Shared,568631,12221,743,0.032
glyph16_U0067,glyph16,20000,2694,19546,2212,22553,ClassCap,546508,9718,1319134,Shared,544428,9663,653,0.499
glyph16_U0067,glyph16,5000,2694,5000,2569,2275,ClassCap,618560,11540,2361424,Shared,618560,11540,1473,0.019
glyph16_U0068,glyph16,10000,987,9450,810,13396,ClassCap,208671,3441,468894,Shared,206991,3411,313,0.178
glyph16_U0068,glyph16,20000,987,17970,795,26861,ClassCap,198486,3456,592415,Shared,197862,3492,269,0.233
glyph16_U0068,glyph16,5000,987,4881,868,3873,ClassCap,212311,3841,600833,Shared,213927,3942,238,0.017
glyph16_U0069,glyph16,10000,141,7438,84,33099,ClassCap,39102,237,58262,TreeCheaper,39102,237,33,0.789
glyph16_U0069,glyph16,20000,141,15026,84,66171,ClassCap,39102,237,58262,TreeCheaper,39102,237,33,4.568
glyph16_U0069,glyph16,5000,141,3725,87,16090,ClassCap,39107,242,58297,TreeCheaper,39107,242,34,0.176
glyph16_U006A,glyph16,10000,568,8784,463,13812,ClassCap,122072,1922,313402,Shared,120920,1925,148,0.065
