name,category,node_count,cap,stop,hit_cap,allocated,live,nodes,memo,ratio,extracted_cost
synth_d3_s6,synthetic,42,2000,Quiesced,false,461,78,461,484,5.9103,240
synth_d3_s7,synthetic,6,500,Quiesced,false,7,5,7,8,1.4000,219
synth_d3_s8,synthetic,9,500,Quiesced,false,12,8,12,13,1.5000,98
synth_d3_s9,synthetic,14,2000,Quiesced,false,19,12,19,20,1.5833,33
synth_d3_s10,synthetic,20,2000,Quiesced,false,43,20,43,46,2.1500,90
synth_d3_s11,synthetic,16,2000,Quiesced,false,67,22,67,67,3.0455,232
synth_d3_s12,synthetic,13,2000,Quiesced,false,17,10,17,18,1.7000,149
synth_d3_s13,synthetic,16,2000,Quiesced,false,21,12,21,23,1.7500,280
synth_d3_s14,synthetic,26,2000,Quiesced,false,38,19,38,40,2.0000,235
synth_d3_s15,synthetic,13,2000,Quiesced,false,17,10,17,19,1.7000,208
synth_d3_s16,synthetic,21,2000,Quiesced,false,49,19,49,53,2.5789,153
synth_d3_s17,synthetic,37,2000,Quiesced,false,44,26,44,47,1.6923,400
synth_d3_s18,synthetic,16,2000,Quiesced,false,19,12,19,21,1.5833,343
synth_d3_s19,synthetic,26,2000,Quiesced,false,32,18,32,32,1.7778,614
synth_d3_s20,synthetic,9,500,Quiesced,false,14,9,14,14,1.5556,176
synth_d3_s21,synthetic,17,2000,Quiesced,false,23,16,23,23,1.4375,302
synth_d3_s22,synthetic,8,500,Quiesced,false,10,6,10,11,1.6667,81
synth_d3_s23,synthetic,35,2000,ClassCap,true,1704,333,1704,1761,5.1171,132
synth_d3_s24,synthetic,17,2000,Quiesced,false,34,17,34,36,2.0000,126
synth_d3_s25,synthetic,7,500,Quiesced,false,8,5,8,9,1.6000,237
synth_d3_s26,synthetic,10,500,Quiesced,false,13,7,13,15,1.8571,83
synth_d3_s27,synthetic,35,2000,Quiesced,false,65,29,65,67,2.2414,455
synth_d3_s28,synthetic,29,2000,Quiesced,false,93,29,93,100,3.2069,280
synth_d3_s29,synthetic,26,2000,Quiesced,false,60,23,60,61,2.6087,360
synth_d3_s30,synthetic,12,2000,Quiesced,false,16,11,16,17,1.4545,104
