kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
glyph16_U004E,glyph16,20000,130,14580,91,67234,ClassCap,41155,280,51228,TreeCheaper,41155,280,39,5.283
glyph16_U004F,glyph16,5000,1707,4991,1685,3153,ClassCap,366336,7581,1964711,Shared,366656,7601,823,0.017
glyph16_U004F,glyph16,10000,1707,9760,1467,7985,ClassCap,348407,6722,1171522,Shared,351263,6938,425,0.028
glyph16_U004F,glyph16,20000,1707,19163,1378,25323,ClassCap,340857,6057,820194,Shared,343209,6204,536,0.580
glyph16_U0050,glyph16,5000,957,4874,828,3899,ClassCap,198908,3683,531198,Shared,200267,3782,284,0.014
glyph16_U0050,glyph16,10000,957,9367,765,13534,ClassCap,191945,3260,426146,Shared,193433,3353,290,0.180
glyph16_U0050,glyph16,20000,957,17961,785,26760,ClassCap,187502,3407,580507,Shared,187470,3405,264,0.244
glyph16_U0051,glyph16,5000,1994,4998,1931,2783,ClassCap,447533,8708,1873312,Shared,447933,8733,1051,0.017
glyph16_U0051,glyph16,10000,1994,9803,1823,7654,ClassCap,416757,8307,1532316,Shared,419923,8533,642,0.030
glyph16_U0051,glyph16,20000,1994,19369,1624,25189,ClassCap,404650,7150,967724,Shared,408090,7365,637,1.191
glyph16_U0052,glyph16,5000,1444,4972,1445,3235,ClassCap,302498,6383,1652590,Shared,303831,6471,591,0.019
glyph16_U0052,glyph16,10000,1444,9859,1172,10711,ClassCap,290655,4995,686046,Shared,292719,5124,341,0.136
glyph16_U0052,glyph16,20000,1444,18507,1128,26078,ClassCap,288847,4882,579566,Shared,290831,5006,413,0.330
glyph16_U0053,glyph16,5000,2733,5000,2623,2225,ClassCap,611816,11756,2449822,Shared,611816,11756,1499,0.019
glyph16_U0053,glyph16,10000,2733,9943,2728,6607,ClassCap,563828,12233,3142443,Shared,566206,12391,1118,0.032
glyph16_U0053,glyph16,20000,2733,19715,2227,21798,ClassCap,541359,9669,1312216,Shared,545855,9950,665,0.665
glyph16_U0054,glyph16,5000,97,2881,62,13286,ClassCap,28873,178,36712,TreeCheaper,28873,178,25,0.119
glyph16_U0054,glyph16,10000,97,6085,62,27254,ClassCap,28873,178,36712,TreeCheaper,28873,178,26,0.639
glyph16_U0054,glyph16,20000,97,12720,62,55553,ClassCap,28873,178,36712,TreeCheaper,28873,178,25,4.027
glyph16_U0055,glyph16,5000,1779,4991,1758,3049,ClassCap,397118,7838,1932677,Shared,397918,7888,882,0.017
glyph16_U0055,glyph16,10000,1779,9745,1500,7810,ClassCap,375065,6815,1145180,Shared,377946,7056,458,0.027
glyph16_U0055,glyph16,20000,1779,19157,1443,24575,ClassCap,369336,6291,887165,Shared,371976,6456,550,0.194
glyph16_U0056,glyph16,5000,121,2821,114,8160,ClassCap,33932,437,38428,TreeCheaper,33932,437,34,0.061
glyph16_U0056,glyph16,10000,121,6710,97,34680,ClassCap,32522,302,37912,TreeCheaper,32522,302,40,0.925
glyph16_U0056,glyph16,20000,121,11883,93,69839,ClassCap,32510,290,37864,TreeCheaper,32510,290,37,5.765
glyph16_U0057,glyph16,5000,204,3864,194,10887,ClassCap,60496,796,65616,TreeCheaper,60496,796,64,0.139
glyph16_U0057,glyph16,10000,204,6892,185,27866,ClassCap,60456,756,65024,TreeCheaper,60456,756,75,0.869
glyph16_U0057,glyph16,20000,204,14607,175,60183,ClassCap,60292,592,64744,TreeCheaper,60292,592,79,4.363
glyph16_U0058,glyph16,5000,201,4050,205,10197,ClassCap,59972,842,69028,TreeCheaper,59972,842,77,0.109
glyph16_U0058,glyph16,10000,201,7262,203,28325,ClassCap,61528,838,67432,TreeCheaper,61528,838,91,0.715
glyph16_U0058,glyph16,20000,201,12578,184,61261,ClassCap,61328,638,66992,TreeCheaper,61328,638,81,4.197
glyph16_U0059,glyph16,5000,151,3253,140,9522,ClassCap,46104,534,52478,TreeCheaper,46104,534,52,0.076
glyph16_U0059,glyph16,10000,151,5344,131,23234,ClassCap,45831,501,52052,TreeCheaper,45831,501,49,0.351
glyph16_U0059,glyph16,20000,151,13296,121,76693,ClassCap,45735,405,51804,TreeCheaper,45735,405,49,9.020
glyph16_U005A,glyph16,5000,148,2922,126,9221,ClassCap,42960,420,51578,TreeCheaper,42960,420,44,0.091
glyph16_U005A,glyph16,10000,148,7610,113,36346,ClassCap,42885,345,51252,TreeCheaper,42885,345,45,2.598
glyph16_U005A,glyph16,20000,148,14904,110,72239,ClassCap,42877,337,51228,TreeCheaper,42877,337,42,12.184
glyph16_U005B,glyph16,5000,105,1526,64,16687,Quiesced,25220,170,35592,TreeCheaper,25220,170,21,0.116
glyph16_U005B,glyph16,10000,105,1526,64,16687,Quiesced,25220,170,35592,TreeCheaper,25220,170,21,0.112
glyph16_U005B,glyph16,20000,105,1526,64,16687,Quiesced,25220,170,35592,TreeCheaper,25220,170,21,0.130
glyph16_U005C,glyph16,5000,84,2957,70,11752,ClassCap,20330,230,23686,TreeCheaper,20330,230,25,0.122
glyph16_U005C,glyph16,10000,84,7873,65,37505,ClassCap,20292,192,23572,TreeCheaper,20292,192,25,0.760
glyph16_U005C,glyph16,20000,84,15356,65,72321,ClassCap,20292,192,23572,TreeCheaper,20292,192,25,2.704
glyph16_U005D,glyph16,5000,105,1557,65,16993,Quiesced,26500,175,38152,TreeCheaper,26500,175,22,0.116
glyph16_U005D,glyph16,10000,105,1557,65,16993,Quiesced,26500,175,38152,TreeCheaper,26500,175,22,0.116
glyph16_U005D,glyph16,20000,105,1557,65,16993,Quiesced,26500,175,38152,TreeCheaper,26500,175,22,0.117
glyph16_U005E,glyph16,5000,125,3207,117,8188,ClassCap,33996,441,38540,TreeCheaper,33996,441,35,0.045
glyph16_U005E,glyph16,10000,125,6394,111,21381,ClassCap,34084,409,38460,TreeCheaper,34084,409,44,0.232
glyph16_U005E,glyph16,20000,125,15022,107,50010,ClassCap,34024,349,38280,TreeCheaper,34024,349,48,1.138
glyph16_U005F,glyph16,5000,72,3086,44,17275,ClassCap,17290,115,20799,TreeCheaper,17290,115,15,0.253
glyph16_U005F,glyph16,10000,72,5177,44,33484,ClassCap,17290,115,20799,TreeCheaper,17290,115,15,0.854
glyph16_U005F,glyph16,20000,72,10054,44,86033,ClassCap,17290,115,20799,TreeCheaper,17290,115,15,5.335
glyph16_U0060,glyph16,5000,85,3671,74,12657,ClassCap,20340,240,23696,TreeCheaper,20340,240,29,0.068
