extractor,family,kernel,extent,cap,app_cap,input_nodes,inserted_classes,classes_after,live_classes,objective,scale,claimed,tree_cost,dag_cost,signed_error,error_frac,repaired_picks,sentinel_classes,arena_nodes,arena_dag_unweighted,sharing_ratio
dfs-post-order,shader,shader_julia_set,256x256,5000,200000,122,110,4535,819,tree_cheaper,tree,18446744073709551615,583256506368,45226752,18446743490453045247,31627154.243547,81,12,123,717,12896.272
cost-order-settling,shader,shader_julia_set,256x256,20000,800000,122,110,17032,2602,tree_cheaper,tree,367820210176,367820210176,38740480,0,0.000000,,,102,625,9494.467
dfs-post-order,shader,shader_julia_set,256x256,20000,800000,122,110,17032,2602,tree_cheaper,tree,18446744073709551615,551213438976,43459072,18446743522496112639,33465699.887080,573,211,118,697,12683.507
cost-order-settling,shader,shader_julia_set,256x256,50000,2000000,122,110,34749,4499,tree_cheaper,tree,367820210176,367820210176,38740480,0,0.000000,,,102,625,9494.467
dfs-post-order,shader,shader_julia_set,256x256,50000,2000000,122,110,34749,4499,shared,dag,155916,9584548203520,55980544,-55824628,-0.997215,1077,1135,170,904,171212.130
cost-order-settling,shader,shader_kaleidoscope_fold,256x256,5000,200000,46,43,131,57,tree_cheaper,tree,107906368,107906368,34605840,0,0.000000,,,39,555,3.118
dfs-post-order,shader,shader_kaleidoscope_fold,256x256,5000,200000,46,43,131,57,tree_cheaper,tree,107906368,107906368,34933520,0,0.000000,0,0,40,560,3.089
cost-order-settling,shader,shader_kaleidoscope_fold,256x256,20000,800000,46,43,131,57,tree_cheaper,tree,107906368,107906368,34605840,0,0.000000,,,39,555,3.118
dfs-post-order,shader,shader_kaleidoscope_fold,256x256,20000,800000,46,43,131,57,tree_cheaper,tree,107906368,107906368,34933520,0,0.000000,0,0,40,560,3.089
cost-order-settling,shader,shader_kaleidoscope_fold,256x256,50000,2000000,46,43,131,57,tree_cheaper,tree,107906368,107906368,34605840,0,0.000000,,,39,555,3.118
