name,group,arm,node_count,stop,allocated,live,nodes,memo,bytes_proxy,applications,iterations,unions,extracted_cost,elapsed_ns
glyph32:U+003C,glyph32,allocated,295,ClassCap(Allocated),2697,420,2697,2969,468328,7887,3,2261,514,31340167
glyph32:U+003C,glyph32,live,295,ClassCap(Live),3407,436,3407,3689,588168,24555,5,2955,470,97196541
glyph32:U+003D,glyph32,allocated,183,Quiesced,1514,172,1514,1672,263200,21429,7,1334,231,49583625
glyph32:U+003D,glyph32,live,183,Quiesced,1514,172,1514,1672,263200,21429,7,1334,231,48921292
glyph32:U+003E,glyph32,allocated,295,ClassCap(Allocated),2711,421,2711,2980,470512,7897,3,2274,519,32970625
glyph32:U+003E,glyph32,live,295,ClassCap(Live),3420,437,3420,3699,590184,24641,5,2967,475,103609042
glyph32:U+003F,glyph32,allocated,6716,ClassCap(Allocated),5000,3176,5000,5083,844648,2009,1,1824,12176,16782250
glyph32:U+003F,glyph32,live,6716,ClassCap(Live),8320,4176,8320,8400,1402240,5431,1,4087,11985,25427250
glyph32:U+0040,glyph32,allocated,12056,ClassCap(Allocated),5226,5226,5226,5226,877968,0,0,0,23527,2501541
glyph32:U+0040,glyph32,live,12056,ClassCap(Live),5226,5226,5226,5226,877968,0,0,0,23527,2414291
glyph32:U+0041,glyph32,allocated,1605,ClassCap(Allocated),4509,1340,4509,4734,770112,6637,2,3140,2672,23417542
glyph32:U+0041,glyph32,live,1605,ClassCap(Live),6470,1854,6470,6708,1100288,9948,2,4587,2549,28440541
glyph32:U+0042,glyph32,allocated,4470,ClassCap(Allocated),4975,2650,4975,5016,838096,2973,1,2267,7970,15813959
glyph32:U+0042,glyph32,live,4470,ClassCap(Live),7052,3157,7052,7093,1187032,5146,1,3837,7758,20124875
glyph32:U+0043,glyph32,allocated,5129,ClassCap(Allocated),4996,2830,4996,5047,842184,2718,1,2110,9459,16072125
glyph32:U+0043,glyph32,live,5129,ClassCap(Live),7876,3544,7876,7927,1326024,5633,1,4276,9252,23245000
glyph32:U+0044,glyph32,allocated,2606,ClassCap(Allocated),4367,1933,4367,4390,734944,3265,1,2389,4506,12518166
glyph32:U+0044,glyph32,live,2606,ClassCap(Live),9105,2572,9105,9366,1544256,13737,2,6480,4230,39931292
glyph32:U+0045,glyph32,allocated,247,ClassCap(Allocated),2779,369,2779,2972,477680,12807,4,2396,335,56441542
glyph32:U+0045,glyph32,live,247,ClassCap(Live),4622,555,4622,4872,790496,24259,5,4049,335,205749708
glyph32:U+0046,glyph32,allocated,215,ClassCap(Allocated),2534,330,2534,2712,435680,11996,4,2190,285,52585667
glyph32:U+0046,glyph32,live,215,ClassCap(Live),4251,507,4251,4487,727384,22382,5,3725,285,209738958
glyph32:U+0047,glyph32,allocated,4563,ClassCap(Allocated),4983,2695,4983,5020,839216,2915,1,2234,8262,15596208
glyph32:U+0047,glyph32,live,4563,ClassCap(Live),7266,3250,7266,7303,1222760,5258,1,3962,8258,20838666
glyph32:U+0048,glyph32,allocated,247,ClassCap(Allocated),2792,368,2792,2983,479752,12701,4,2410,314,62866667
glyph32:U+0048,glyph32,live,247,ClassCap(Live),4723,561,4723,4972,807408,24358,5,4145,314,228799042
glyph32:U+0049,glyph32,allocated,391,ClassCap(Allocated),3418,565,3418,3722,591248,8929,3,2843,626,46538084
glyph32:U+0049,glyph32,live,391,ClassCap(Live),5000,694,5000,5341,859096,20755,4,4280,602,205296584
glyph32:U+004A,glyph32,allocated,2425,ClassCap(Allocated),4282,1868,4282,4302,720496,3220,1,2373,4339,11691291
glyph32:U+004A,glyph32,live,2425,ClassCap(Live),8998,2490,8998,9255,1526056,13711,2,6448,3926,38547083
